Kiswahili;Latin;Family;EwE_group;Food_category;Handline;Net;Spear;Trap;Gillnet;Longline;MigSpear;Miguu;Fence;Floatnet;Total;Group_contribution
Kangaja;Acanthurus_spp;Acanthuridae;Other_herbivorous_fish;Herbivore;383.9331009;2574.059956;765.623172;1434.687972;0;0;0;0;0;0;5158.3042;0.472
Pono cha mumbu;Hipposcarus_harid;Scaridae;Other_herbivorous_fish;Herbivore;0.782545988;615.2843004;283.1625;1900.140325;0;0;0;0;0;0;2799.369672;0.256
Pono fis;Calotomus_carolinus;Scaridae;Other_herbivorous_fish;Herbivore;1.565091977;336.7520008;119.6328669;1321.287311;6.193790949;0;144.0460978;0;0;0;1929.477159;0.177
Pono other;Scaridae;Scaridae;Other_herbivorous_fish;Herbivore;158.8463099;367.4025403;107.6446604;250.8635363;0;0;0;0;0;0;884.7570469;0.081
Mwatiko;Chanos_chanos;Chanidae;Other_herbivorous_fish;Herbivore;0;149.2491103;0;0;0;0;0;0;0;0;149.2491103;0.014
